NAMC_CODE,ICD_11_CODE
AYU,
DIS,
A,
AA,
AAA,
AAA-1,SR11
AAA-2,SR12
AAA-2.1,SR10
AAA-2.2,
AAA-2.3,
AAA-2.4,
AAA-2.5,
AAA-2.6,
AAA-3,SR13
AAA-4,SR14
AAB,
AAB-1,SQ00
AAB-2,SQ05
AAB-3,SP9Y
AAB-4,SP9Y
AAB-5,SP21
AAB-6,
AAB-7,SM1P
AAB-8,
AAB-9,
AAB-10,
AAB-11,
AAB-12,
AAB-13,
AAB-14,
AAB-15,SK84
AAB-16,
AAB-17,
AAB-18,
AAB-19,
AAB-20,
AAB-21,
AAB-22,SL02
AAB-23,
AAB-24,
AAB-25,SM1Y
AAB-26,SP97
AAB-27,SN41
AAB-28,
AAB-29,SP61
AAB-30,SN4C
AAB-31,
AAB-32,
AAB-33,SP45
AAB-34,
AAB-35,SM50
AAB-36,SP1Y
AAB-37,
AAB-38,SK91
AAB-39,SP1Y
AAB-40,SP1Y
AAB-41,SP95
AAB-42,SP98
AAB-43,
AAB-44,SN9Y
AAB-45,SP9Y
AAB-46,SK30
AAB-47,
AAB-48,SM1Y
AAB-49,SN60
AAB-50,SN7Y
AAB-51,
AAB-52,
AAB-53,SK21
AAB-54,SK5Y
AAB-55,SP4Y
AAB-56,SP45
AAB-57,SN4R
AAB-58,
AAB-59,SP9Y
AAB-60,
AAB-61,SP42
AAB-62,
AAB-63,
AAB-64,SP4Y
AAB-65,SP9Y
AAB-66,SP9Y
AAB-67,
AAB-68,SM7Y
AAB-69,
AAB-70,
AAB-71,
AAB-72,SK5Y
AAB-73,
AAB-74,SM1N
AAB-75,SM81
AAB-76,
AAB-77,SN42
AAB-78,SP9Y
AAB-79,SK0Y
AAB-80,SP1Y
AAB-81,
AAB-82,SK7Y
AAB-83,SP9Y
AAB-84,SP9Y
AAB-85,SK53
AAB-86,SP9Y
AAB-87,SP1Y
AAB-88,SP9Y
AAB-89,SM37
AAB-90,
AAB-91,SQ04
AAB-92,SN3Y
