rec_id,t_id,term_id,term_devanagari,term_iast,wordtree,parent_id,def_id,w_trans,w_def,refn,sys_id
10411,1,AYU,व्याधि-विनिश्चयः,vyādhi-viniścayaḥ,vyAdhi-viniScayaH,0,0,diagnostic conditions,,,1
10412,2,DIS,विकारः,vikāraḥ,vikAraH,1,0,disease/disorder,,,1
10413,3,A,दोषवैषम्यम्,doṣavaiṣamyam,doShavaiShamyam,2,0,derangement of dōṣha,,,1
10414,4,AA,वातव्याधिः,vātavyādhiḥ,vAtavyAdhiH,3,0,disorders due to vāta,,,1
10415,5,AAA,दोषावस्था (वात),doṣāvasthā (vāta),doShAvasthA (vAta),4,0,morbid state of dōṣha,,,1
10416,6,AAA-1,वातसञ्चयः,vātasañcayaḥ,vAtasa~jcayaH,5,0,accumulation of vāta,"the disorder is characterized by stabdhakośhThatā [impariment of movements of vāta in the kośhTha/stagnated bowel movements/paralytic ileus], pUrNakośhThatā [fullness of abdomen]",Su.Su.21/18,1
10417,7,AAA-2,वातवृद्धिः,vātavṛddhiḥ,vAtavRuddhiH,5,0,aggravation of vāta,"the disorder is characterized by vākpāruśhyam [roughness of voice/hoarseness of voice], kārśyaḥ [emaciation], kārśhNyaḥ [blackish discoloration of body], gātrasPuraNam [flickering/twitching in various parts of body], uśhNakāmitā/uśhNakāmatvam [desire for heat/warmth], nidrānāśaḥ/nidrāBraṁśaḥ [insomnia], alpabalatvam [insufficient /decreased physical strength], gāDhavarcastvam [thick/compact stool], kampaḥ/gātrakampaḥ [trembling/tremors of body parts], ānāhaḥ [barborygmus with distention], śakRudgrahaḥ [obstruction/retension of faeces], balaBraṁśaḥ/balopaghātaḥ [diminution of physical strength], indriyaBraṁśaḥ/indriyopaghātaḥ [impairment of sense organs], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], Bramaḥ [giddiness or dizziness], dInatā/dainyam [timid or apathy], asthiśUlaḥ [pain in the bones], majjāśośhaḥ [decrease in or dryness of majja (bone marrow)], malasa~ggaḥ [obstruction to passage of feces], ādhmānam [abdominal distension], āTopaḥ [gurgling sound of the intestines/barborygmus], saṁj~jānāśaḥ [loss of conciousness], mohaḥ [confusion/delirium], Bayaḥ [fear], śokaḥ [grief]",Su.Su.15/13; Ah.Su.11/6,1
10418,8,AAA-2.1,वातप्रकोपः,vātaprakopaḥ,vAtaprakopaH,5,0,vitiation of vāta,"the disorder is characterized by sraṁsaḥ [exhaustion/fatigue], Braṁśaḥ [dislocation/prolapse], vyāsaḥ [expansion/dilatation], sa~ggaḥ [obstruction/adherence], Bedaḥ [breaking type of pain], sādaḥ [exhaustion or tirednes of body], harśhaḥ [horripilation/bristling], tarśhaḥ [dryness of mouth/thirst], kampaḥ [tremors/trembling/shaking], vartaḥ [movement of vāta in opposite direction/circular movement of vāta], cālaḥ [pulsation (chakrapani)], todaḥ [pricking pain], vyathā [uneasiness/agitation/feeling of discomfort], ceśhTā [abnormal movements], kharatvam [roughness], paruśhatvam [roughness in body], viśadatvam [conspicuousness /clear/perceivable], suśhiratvam [porousness/hollowness], aruNavarNatā [slight reddish complexion of the body], kaśhāyamukhatvam [astringent taste in mouth], virasamukhatvam [tastelessness/upleasant taste in mouth], śośhaḥ [dryness/wasting/emaciation], śUlaḥ [sharp type of pain], suptiḥ [numbness/drowsiness], saṁkocanam [contraction of body parts], stamBanam [stiffness /rigidity], khaṁjatā [limping]",Su.Su.21/20; Ca.Su.20/12; As.Su.19/3,1
10419,9,AAA-2.2,प्राणवातकोपः,prāṇavātakopaḥ,prANavAtakopaH,8,0,vitiated prāNavāyu,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakśhurādInāmupaghāta [impairment of sense organs viz. eye], pInasa [cold, catarrh], ardita [facial paralysis], tRuT [thirst], kāsaḥ [cough]",Su.Ni.1/14; As.Ni.16/21; Ah.Ni.16/20,1
10420,10,AAA-2.3,उदानवातकोपः,udānavātakopaḥ,udAnavAtakopaH,8,0,vitiated udānavāyu,"the disorder is characterized by kaNTharodha [choking of throat/stopping or lowering voice], manoBraṁśa [mental disturbance], Cardiḥ [vomiting], arocakaḥ [tastelessness], pInasa [cold, catarrh], galagaNDaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrUrdhvaroga [diseases of body above collar bone/diseases of head and neck]",As.Ni.16/23; Ah.Ni.16/22,1
10421,11,AAA-2.4,व्यानवातकोपः,vyānavātakopaḥ,vyAnavAtakopaH,8,0,vitiated vyānavāyu,"the disorder is characterized by puṁstvaBraṁśa [decrease in virility/semen], utsāhaBraṁśa [decrease/lack of enthusiasm/energy], balaBraṁśaḥ [diminution of physical strength], śoPa [oedema], cittotplava [excitement], jvaraḥ [fever], sarvā~ggaroga [quadriplegia], nistoda [pricking type of pain], romaharśha [horripilation], a~ggasuptatā [numbness of body parts], kuśhThaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvā~ggaga roga [diseases affecting whole body]",As.Su.20/2; As.Ni.16/25; Ah.Ni.16/24,1
10422,12,AAA-2.5,समानवातकोपः,samānavātakopaḥ,samAnavAtakopaH,8,0,vitiated samānavāyu,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śUla [colicky pain in the abdomen], grahaNI [derangement of agni situated in grahaNI], pakvāśayajaroga [diseases of/having origin in pakvāśaya], āmāśayajarogaḥ [diseases of/having origin in āmāśaya]",Su.Ni.1/17; As.Ni.16/27; Ah.Ni.16/26,1
10423,13,AAA-2.6,अपानवातकोपः,apānavātakopaḥ,apAnavAtakopaH,8,0,vitiated apānavāyu,"the disorder is characterized by pakvāśayāśrayarogaḥ [diseases of pakvāśaya], mUtrapradośhaḥ [disorders of mUtra/urinary system], śukrapradośhaḥ [disorders of semen], arśaḥ [haemorrhoids], gudaBraṁśaḥ [rectal prolapse]",As. Ni.16/29; Ah.Ni.16/28,1
10424,14,AAA-3,वातप्रसरणम्,vātaprasaraṇam,vAtaprasaraNam,5,0,spreading of vātadōṣha,"the disorder is characterized by vāyorvimārgagamanam [abnormal movements of vāyu], āTopaḥ [gurgling sound of the intestines/barborygmus]",Su.Su.21/32,1
10425,15,AAA-4,वातक्षयः,vātakṣayaḥ,vAtakShayaH,5,0,depletion of vātadōṣha,"the disorder is characterized by mandaceśhTatā [sluggishness in body activities], alpavāktvam/alpaBāśhaNam [reduced talking], apraharśhaḥ [displeasure/discontent], mUDhasaṁj~jatā [loss of consciousness], a~ggasādaḥ [exhaustion or tirednes to body /inability to perform physical activities], alpehitam/alpaceśhTatā [reduced activities], saṁj~jāmohaḥ [loss of investigating intelligence/loss of conciousness], ślośhmavRuddhijanyāmayāḥ [diseases due to increased kaPa], prasekaḥ [excessive salivation], aruciḥ [tastelessness], hRUllāsaḥ [nausea /palpitation of heart], agnivaiśhamyaḥ [impairment of agni (digestive power)]",Su.Su.15/7; As.Su.19/5; Ah.Su.11/15,1
10426,16,AAB,नानात्मजवातविकारः,nānātmajavātavikāraḥ,nAnAtmajavAtavikAraH,4,0,diseases due only to vitiated vāta,,,1
10427,17,AAB-1,अतिप्रलापः (कॆवलवात),atipralāpaḥ (kevalavāta),atipralApaH (kEvalavAta),16,0,delirium in excess (due only to vātadōṣha),"the disorder is characterized by asambaddhavācanam [incoherent speech], nirarthakavācanam [meaningless/nonsensical speech]",Ca.Su.20/11; Sha.Pu.7/112,1
10428,18,AAB-2,अनवस्थितचित्तत्वम् (कॆवलवात),anavasthitacittatvam (kevalavāta),anavasthitacittatvam (kEvalavAta),16,0,unstable state of mind (due only to vātadōṣha),,Sha. Pu.7/113,1
10429,19,AAB-3,अङ्गमर्दः (कॆवलवात),aṅgamardaḥ (kevalavāta),a~ggamardaH (kEvalavAta),16,0,generalized body ache (due only to vātadōṣha),,Bp. Ma.23/218,1
10430,20,AAB-4,अङ्गशुष्कता (कॆवलवात),aṅgaśuṣkatā (kevalavāta),a~ggaSuShkatA (kEvalavAta),16,0,wasting of body part(s) (due only to vātadōṣha),,Bp. Ma.23/218,1
10431,21,AAB-5,अङ्गविभ्रंशः (कॆवलवात),aṅgavibhraṃśaḥ (kevalavāta),a~ggaviBraMSaH (kEvalavAta),16,0,dislocation/laxity of body part(s) (due only to vātadōṣha),,Bp. Ma.23/218,1
10432,22,AAB-6,अर्दितः (कॆवलवात),arditaḥ (kevalavāta),arditaH (kEvalavAta),16,0,facial paralysis (due only to vātadōṣha),,Ca.Su.20/11; Su.Ni.1/68-72; Ma.Ni.22/45-47; Sha.Pu.7/106; Bp.Ma.23/60-63,1
10433,23,AAB-7,अरसज्ञता (कॆवलवात),arasajñatā (kevalavāta),arasaj~jatA (kEvalavAta),16,0,ageusia (due only to vātadōṣha),,Ca.Su.20/11; Bp.Ma.23/53,1
10434,24,AAB-8,अशब्दश्रवणम् (कॆवलवात),aśabdaśravaṇam (kevalavāta),aSabdaSravaNam (kEvalavAta),16,0,tinnitus (due only to vātadōṣha),,Ca.Su.20/11; Sha.Pu.7/115,1
10435,25,AAB-9,अस्वप्नः (कॆवलवात),asvapnaḥ (kevalavāta),asvapnaH (kEvalavAta),16,0,insomnia (due only to vātadōṣha),,Ca.Su.20/11; Sha.Pu.7/112,1
10436,26,AAB-10,अक्षिभेदः (कॆवलवात),akṣibhedaḥ (kevalavāta),akShiBedaH (kEvalavAta),16,0,tearing pain of eye (due only to vātadōṣha),,Ca.Su.20/11,1
10437,27,AAB-11,अक्षिव्युदासः (कॆवलवात),akṣivyudāsaḥ (kevalavāta),akShivyudAsaH (kEvalavAta),16,0,ptosis of eye ball (due only to vātadōṣha),,Ca.Su.20/11; Ma.Ni.22/8; Sha.Pu.7/115,1
10438,28,AAB-12,अक्षिशूलः (कॆवलवात),akṣiśūlaḥ (kevalavāta),akShiSUlaH (kEvalavAta),16,0,piercing type of eye pain (due only to vātadōṣha),,Ca.Su.20/11,1
10439,29,AAB-13,आटोपः (कॆवलवात),āṭopaḥ (kevalavāta),ATopaH (kEvalavAta),16,0,borborygmus (due only to vātadōṣha),,Ca.Ci.28/28; Ma.Ni.22/68; Bp.Ma.23/216,1
10440,30,AAB-14,आक्षेपकः (कॆवलवात),ākṣepakaḥ (kevalavāta),AkShepakaH (kEvalavAta),16,0,clonic convulsion (due only to vātadōṣha),,Ca.Ci.28/50; Su.Ni.1/50-58; Ah.Ni.15/17; Ma.Ni.22/27-28;Ma.Ni.22/37; Sha.Pu.7/105; Bp.Ma.23/167,1
10441,31,AAB-15,उच्चैःश्रुतिः (कॆवलवात),uccaiḥśrutiḥ (kevalavāta),uccaiHSrutiH (kEvalavAta),16,0,hypacousia (due only to vātadōṣha),,Ca.Su.20/11,1
10442,32,AAB-16,उदरावेष्टः (कॆवलवात),udarāveṣṭaḥ (kevalavāta),udarAveShTaH (kEvalavAta),16,0,feeling of abdomen as if enveloped by a cloth (due only to vātadōṣha),,Ca.Su.20/11,1
