NAMC_CODE,ICD_11_CODE
AYU,
DIS,
A,
AA,
AAA,
AAA-1,SR11
AAA-2,SR12
AAA-2.1,SR10
AAA-2.1,SR10
AAA-2.2,
AAA-2.3,
AAA-2.4,
AAA-2.5,
AAA-2.6,
AAA-3,SR13
AAA-4,SR14
AAB,
AAB-1,SQ00
AAB-2,SQ05
AAB-3,SP9Y
AAB-4,SP9Y
AAB-5,SP21
AAB-6,
AAB-7,SM1P
AAB-7,SM1P
AAB-8,
AAB-9,
AAB-10,
AAB-11,
AAB-12,
AAB-13,
AAB-14,
AAB-15,SK84
AAB-15,SK84
AAB-16,
AAB-17,
AAB-18,
AAB-19,
AAB-20,
AAB-21,
AAB-22,SL02
AAB-22,SL02
AAB-23,
AAB-24,
AAB-25,SM1Y
AAB-26,SP97
AAB-27,SN41
AAB-28,
AAB-29,SP61
AAB-30,SN4C
AAB-31,
AAB-32,
AAB-33,SP45
AAB-34,
AAB-35,SM50
AAB-36,SP1Y
AAB-37,
AAB-38,SK91
AAB-39,SP1Y
AAB-40,SP1Y
AAB-41,SP95
AAB-42,SP98
AAB-43,
AAB-44,SN9Y
AAB-45,SP9Y
AAB-46,SK30
AAB-47,
AAB-48,SM1Y
AAB-49,SN60
AAB-50,SN7Y
AAB-51,
AAB-52,
AAB-53,SK21
AAB-54,SK5Y
AAB-55,SP4Y
AAB-56,SP45
AAB-57,SN4R
AAB-58,
AAB-59,SP9Y
AAB-60,
AAB-61,SP42
AAB-62,
AAB-63,
AAB-64,SP4Y
AAB-65,SP9Y
AAB-66,SP9Y
AAB-67,
AAB-68,SM7Y
AAB-69,
AAB-70,
AAB-71,
AAB-72,SK5Y
AAB-73,
AAB-74,SM1N
AAB-75,SM81
AAB-76,
AAB-77,SN42
AAB-78,SP9Y
AAB-79,SK0Y
AAB-80,SP1Y
AAB-81,
AAB-82,SK7Y
AAB-83,SP9Y
AAB-84,SP9Y
AAB-85,SK53
AAB-86,SP9Y
AAB-87,SP1Y
AAB-88,SP9Y
AAB-89,SM37
AAB-90,
AAB-91,SQ04
AAB-92,SN3Y
AAB-93,SP4Y
AAB-94,SP9Y
AAB-95,SL7Y
AAB-96,
AAB-97,SN03
AAB-98,
AAB-99,SN07
AAB-100,SP9Y
AAB-101,
AAB-102,
AAB-103,SP9Y
AAB-104,
AAB-105,SP9Y
AAB-106,
AAB-107,SK52
AAB-108,SP4Y
AAB-109,
AAB-110,SL62
AAB-111,SL60
AAC,
AAC-1,SK30
AAC-2,SK30
AAC-2.1,
AAC-3,SK30
AAC-4,SK20
AAC-4.1,
AAC-4.2,
AAC-5,SP0Y
AAC-6,SP00
AAC-7,SN08
AAC-8,SP15
AAC-9,SK55
AAC-9.1,
AAC-9.2,SK55
AAC-10,SP2Y
AAC-10,SP2Y
AAC-11,SK30
AAC-12,SM31
AAC-12.1,SM31
AAC-13,SK30
AAC-13.1,SK30
AAC-14,SM75
AAC-15,SK22
AAC-16,SK5Y
AAC-17,SP10
AAC-18,SK2Y
AAC-19,SP20
AAC-20,SP41
AAC-20.1,
AAC-20.2,
AAC-21,SK22
SM83,AAC-22
AAC-239,SK30
SK22,AAC-24
AAC-24.1,
AAC-24.2,
AAC-24.3,
AAC-25,SP9Y
AAC-26,SP9Y
AAC-27,SM83
AAC-28,
AAC-29,
SK21,AAC-30
SL21,AAC-31
AAC-32,
SL07,AAC-33
SP40,AAC-34
SK51,AAC-35
SK52,AAC-36
AAC-37,
AAC-38,SK22
AAC-39,SL7Y
AAC-40,SK5Y
SR20,AAD
AAD-1,
AAD-1.1,
AAD-1.2,
AAD-1.3,
AAD-1.4,
AAD-1.5,
AAD-1.6,
AAD-1.7,
AAD-1.8,
AAD-1.9,
AAD-1.10,
AAD-1.11,
AAD-1.12,
AAD-1.13,
AAD-1.14,
AAD-1.15,
AAD-1.16,
AAD-1.17,
AAD-1.18,
AAD-1.19,
AAD-1.20,
AAD-2,
AAD-2.1,SR20
AAD-2.2,SR20
AAD-2.3,SR20
AAD-2.4,SR20
AAD-2.5,SR20
AAD-2.6,SR20
AAD-2.7,SR20
AAD-2.8,SR20
AAD-2.9,SR20
AAD-2.10,SR20
AAD-2.11,SR20
AAD-2.12,SR20
AAD-2.13,
AAD-3,
AAD-3.1,SR20
AAD-3.2,SR20
AAD-3.3,SR20
AAD-3.4,SR20
AAD-3.5,SR20
AAD-3.6,SR20
AAD-3.7,SR20
AAD-4,SR20
AAD-4.1,SR20
AAD-4.2,
AAD-5,SR20
AAE,
AAE-1,
AAE-2,
AAE-3,
AAE-4,
AAE-5,
AAE-6,
AAE-7,
AAE-8,
AAE-9,
AAE-10,
AAE-11,
AAE-12,
AAE-13,
AAE-14,
AAE-15,
AAE-16,SP12
AAE-17,
AA-1,
AA-2,
AA-3,
AA-4,
AB,
ABA,
ABA-1,SR16
ABA-2,SR17
ABA-2.1,SR15
ABA-3,SR18
ABA-4,SR19
ABB,
ABB-1,SK7Y
ABB-2,SN44
ABB-3,SP9Y
ABB-4,
ABB-5,SM7Y
ABB-6,SM7Y
ABB-7,SM3Y
ABB-8,SP9Y
ABB-9,SM10
ABB-10,SP9Y
ABB-11,SP9Y
ABB-12,
ABB-13,
ABB-14,
ABB-15,
ABB-16,
ABB-17,SP98
ABB-18,
ABB-19,
ABB-20,
ABB-21,SP9Y
ABB-22,SP9Y
ABB-23,SP9Y
ABB-24,SP9Y
ABB-25,SP9Y
ABB-26,
ABB-27,SM15
ABB-28,SP9Y
ABB-29,SP2Y
ABB-30,SP9Y
ABB-31,SN00
ABB-32,
ABB-33,
ABB-34,
ABB-35,SN5Y
ABB-36,
ABB-37,SP9Y
ABB-38,
ABB-39,
ABB-40,
ABB-41,
ABB-45,SN9Y
ABC,
ABC-1,
ABC-2,
ABC-3,
ABC-4,
ABC-5,
ABC-6,
ABC-7,
ABC-8,
ABC-9,
ABC-10,
AB-1,
AB-2,
AB-3,
AC,
ACA,
ACA-1,SR1B
ACA-2,SR1C
ACA-2.1,SR1A
ACA-3,SR1D
ACA-4,SR1E
ACB,
ACB-1,
ACB-2,SM3B
ACB-3,SP96
ACB-4,
ACB-5,
ACB-6,
ACB-7,SR0Y
ACB-8,
